"order_amount","discount_category","total_revenue"
"950.67","Heavy_Discounted_product","760.43"
"2364.63","Heavy_Discounted_product","2235.08"
"2035.53","Heavy_Discounted_product","1821.60"
"554.84","Heavy_Discounted_product","437.95"
"1222.89","Heavy_Discounted_product","994.49"
"1232.34","Heavy_Discounted_product","1065.92"
"1474.71","Heavy_Discounted_product","1295.63"
"1091.94","Low_Discounted_product","1066.53"
"1776.23","Low_Discounted_product","1725.38"
"345.51","Heavy_Discounted_product","215.11"
"778.91","Low_Discounted_product","704.93"
"900.71","Heavy_Discounted_product","616.06"
"1190.42","Heavy_Discounted_product","943.36"
"1301.72","Low_Discounted_product","1248.43"
"1329.32","Heavy_Discounted_product","1156.56"
"1039.54","Heavy_Discounted_product","759.92"
"261.91","Heavy_Discounted_product","43.75"
"2083.62","Heavy_Discounted_product","1844.92"
"756.65","Heavy_Discounted_product","559.05"
"1302.24","Heavy_Discounted_product","1182.00"
"1813.76","Heavy_Discounted_product","1570.07"
"582.58","Heavy_Discounted_product","398.78"
"224.26","Low_Discounted_product","146.64"
"708.37","Heavy_Discounted_product","596.13"
"1310.37","Low_Discounted_product","1221.74"
"989.05","Heavy_Discounted_product","753.77"
"1207.78","Heavy_Discounted_product","998.75"
"251.95","Heavy_Discounted_product","149.03"
"1469.39","Low_Discounted_product","1370.09"
"624.24","Heavy_Discounted_product","432.10"
"2231.12","Heavy_Discounted_product","2096.25"
"673.30","Heavy_Discounted_product","447.60"
"1041.32","Low_Discounted_product","982.20"
"2421.61","Low_Discounted_product","2327.59"
"1009.57","Heavy_Discounted_product","872.21"
"1745.85","Low_Discounted_product","1651.89"
"1794.90","Heavy_Discounted_product","1641.65"
"627.23","Heavy_Discounted_product","436.58"
"522.68","Low_Discounted_product","428.31"
"514.03","Heavy_Discounted_product","269.47"
"1774.80","Heavy_Discounted_product","1650.11"
"270.98","Heavy_Discounted_product","42.66"
"863.94","Heavy_Discounted_product","629.72"
"1517.24","Low_Discounted_product","1436.87"
"1456.61","Heavy_Discounted_product","1159.68"
"804.48","Heavy_Discounted_product","545.82"
"2064.62","Heavy_Discounted_product","1888.24"
"2005.15","Heavy_Discounted_product","1761.09"
"1572.77","Low_Discounted_product","1522.26"
"2466.62","Heavy_Discounted_product","2262.83"
"2194.21","Low_Discounted_product","2156.14"
"2105.51","Heavy_Discounted_product","1877.07"
"818.05","Heavy_Discounted_product","693.78"
"1385.91","Low_Discounted_product","1302.44"
"205.69","Heavy_Discounted_product","-26.55"
"2155.24","Heavy_Discounted_product","1916.54"
"817.63","Heavy_Discounted_product","569.13"
"2160.57","Heavy_Discounted_product","1924.08"
"237.45","Heavy_Discounted_product","-41.38"
"665.33","Heavy_Discounted_product","458.75"
"1705.55","Low_Discounted_product","1630.43"
"902.67","Heavy_Discounted_product","692.84"
"202.50","Heavy_Discounted_product","59.46"
"221.36","Heavy_Discounted_product","12.68"
"362.91","Heavy_Discounted_product","247.99"
"515.40","Heavy_Discounted_product","283.36"
"219.49","Heavy_Discounted_product","24.48"
"2315.76","Heavy_Discounted_product","2130.94"
"1930.62","Heavy_Discounted_product","1753.75"
"769.91","Heavy_Discounted_product","576.52"
"855.32","Heavy_Discounted_product","572.94"
"1371.90","Heavy_Discounted_product","1147.55"
"459.31","Heavy_Discounted_product","309.44"
"503.56","Heavy_Discounted_product","245.32"
"1954.27","Heavy_Discounted_product","1667.93"
"803.03","Low_Discounted_product","791.08"
"1839.05","Heavy_Discounted_product","1608.92"
"1436.61","Low_Discounted_product","1390.81"
"2440.92","Low_Discounted_product","2394.31"
"913.39","Heavy_Discounted_product","782.14"
"466.77","Heavy_Discounted_product","283.08"
"474.72","Heavy_Discounted_product","262.35"
"1389.61","Heavy_Discounted_product","1142.86"
"1885.75","Low_Discounted_product","1850.33"
"346.91","Heavy_Discounted_product","133.21"
"1028.28","Heavy_Discounted_product","878.40"
"1978.66","Heavy_Discounted_product","1710.38"
"2174.98","Low_Discounted_product","2171.29"
"611.61","Heavy_Discounted_product","323.51"
"716.39","Low_Discounted_product","641.91"
"474.62","Heavy_Discounted_product","272.62"
"2394.38","Low_Discounted_product","2373.70"
"1472.11","Low_Discounted_product","1469.72"
"757.94","Heavy_Discounted_product","647.46"
"214.67","Heavy_Discounted_product","91.66"
"2387.28","Non_discounted_product","2386.84"
"2461.17","Heavy_Discounted_product","2335.23"
"300.97","Low_Discounted_product","231.53"
"2441.48","Low_Discounted_product","2416.01"
"372.11","Heavy_Discounted_product","201.76"
"2157.10","Heavy_Discounted_product","1879.29"
"737.31","Heavy_Discounted_product","454.24"
"578.06","Heavy_Discounted_product","438.24"
"1239.41","Heavy_Discounted_product","1100.41"
"2100.69","Heavy_Discounted_product","1891.63"
"1835.66","Heavy_Discounted_product","1545.14"
"798.38","Heavy_Discounted_product","501.18"
"774.66","Heavy_Discounted_product","636.05"
"500.65","Heavy_Discounted_product","253.55"
"2310.09","Low_Discounted_product","2287.59"
"411.55","Heavy_Discounted_product","157.37"
"586.38","Heavy_Discounted_product","414.21"
"597.46","Low_Discounted_product","533.05"
"279.69","Heavy_Discounted_product","93.94"
"1301.77","Low_Discounted_product","1275.45"
"773.04","Heavy_Discounted_product","474.81"
"1303.27","Heavy_Discounted_product","1068.84"
"822.00","Low_Discounted_product","814.18"
"1417.69","Heavy_Discounted_product","1187.64"
"813.01","Heavy_Discounted_product","568.12"
"2350.97","Heavy_Discounted_product","2053.51"
"2054.28","Heavy_Discounted_product","1844.99"
"1495.15","Low_Discounted_product","1438.68"
"287.32","Low_Discounted_product","270.47"
"962.99","Heavy_Discounted_product","778.75"
"250.40","Heavy_Discounted_product","74.42"
"1059.26","Heavy_Discounted_product","776.68"
"513.84","Low_Discounted_product","466.59"
"1826.52","Heavy_Discounted_product","1657.93"
"1070.28","Heavy_Discounted_product","850.08"
"2382.21","Heavy_Discounted_product","2097.60"
"931.90","Heavy_Discounted_product","689.26"
"961.69","Low_Discounted_product","938.35"
"2089.82","Heavy_Discounted_product","1888.81"
"773.94","Low_Discounted_product","753.60"
"1207.91","Heavy_Discounted_product","1082.01"
"1455.86","Low_Discounted_product","1425.43"
"574.11","Low_Discounted_product","552.00"
"2388.82","Low_Discounted_product","2366.56"
"1458.21","Heavy_Discounted_product","1188.77"
"1820.36","Heavy_Discounted_product","1690.96"
"961.52","Heavy_Discounted_product","669.20"
"884.02","Low_Discounted_product","855.25"
"325.36","Low_Discounted_product","324.22"
"1304.76","Low_Discounted_product","1275.66"
"1289.21","Low_Discounted_product","1254.56"
"409.61","Heavy_Discounted_product","246.37"
"1225.28","Low_Discounted_product","1146.29"
"341.77","Heavy_Discounted_product","116.10"
"1152.17","Heavy_Discounted_product","925.23"
"1162.85","Heavy_Discounted_product","1002.20"
"381.60","Heavy_Discounted_product","110.77"
"1758.33","Heavy_Discounted_product","1572.25"
"2059.46","Low_Discounted_product","2021.60"
"2493.72","Heavy_Discounted_product","2305.55"
"1479.64","Heavy_Discounted_product","1314.02"
"1551.43","Heavy_Discounted_product","1316.92"
"1552.25","Heavy_Discounted_product","1324.74"
"2195.19","Heavy_Discounted_product","1931.15"
"1515.65","Heavy_Discounted_product","1373.74"
"1599.91","Heavy_Discounted_product","1391.81"
"313.37","Heavy_Discounted_product","170.80"
"915.18","Heavy_Discounted_product","662.33"
"1980.27","Low_Discounted_product","1884.01"
"2300.90","Heavy_Discounted_product","2178.75"
"2020.43","Low_Discounted_product","2000.74"
"266.58","Low_Discounted_product","208.75"
"316.29","Heavy_Discounted_product","208.18"
"1112.97","Heavy_Discounted_product","836.05"
"1226.04","Heavy_Discounted_product","937.88"
"2126.60","Low_Discounted_product","2049.00"
"574.69","Heavy_Discounted_product","403.01"
"818.89","Heavy_Discounted_product","696.04"
"1582.63","Low_Discounted_product","1580.09"
"1174.76","Heavy_Discounted_product","1061.82"
"894.93","Heavy_Discounted_product","738.74"
"2498.69","Heavy_Discounted_product","2208.74"
"850.16","Heavy_Discounted_product","644.84"
"947.82","Low_Discounted_product","864.75"
"2269.28","Heavy_Discounted_product","2027.65"
"1707.42","Heavy_Discounted_product","1408.18"
"1540.95","Heavy_Discounted_product","1242.52"
"1668.12","Heavy_Discounted_product","1525.40"
"616.61","Low_Discounted_product","587.33"
"1705.20","Low_Discounted_product","1638.52"
"799.29","Low_Discounted_product","711.07"
"1534.72","Heavy_Discounted_product","1348.52"
"1418.63","Heavy_Discounted_product","1294.70"
"2470.54","Heavy_Discounted_product","2202.69"
"1991.56","Heavy_Discounted_product","1845.29"
"1239.72","Low_Discounted_product","1176.91"
"497.63","Heavy_Discounted_product","367.52"
"210.74","Heavy_Discounted_product","50.61"
"241.21","Low_Discounted_product","239.97"
"496.54","Heavy_Discounted_product","381.47"
"2381.47","Heavy_Discounted_product","2244.69"
"988.29","Heavy_Discounted_product","717.87"
"725.36","Heavy_Discounted_product","507.21"
"588.66","Heavy_Discounted_product","478.68"
"1633.21","Heavy_Discounted_product","1455.03"
"1786.42","Heavy_Discounted_product","1661.39"
"1814.30","Low_Discounted_product","1752.65"
"1723.71","Low_Discounted_product","1642.72"
"470.79","Low_Discounted_product","436.59"
"1989.31","Heavy_Discounted_product","1739.86"
"568.86","Heavy_Discounted_product","404.42"
"229.32","Low_Discounted_product","202.62"
"2383.73","Heavy_Discounted_product","2149.87"
"1250.53","Heavy_Discounted_product","957.34"
"2210.52","Heavy_Discounted_product","1954.85"
"418.50","Heavy_Discounted_product","191.04"
"955.92","Heavy_Discounted_product","687.56"
"461.81","Heavy_Discounted_product","341.73"
"2039.77","Heavy_Discounted_product","1845.12"
"2457.61","Heavy_Discounted_product","2204.31"
"1760.30","Low_Discounted_product","1705.92"
"1311.08","Heavy_Discounted_product","1164.64"
"1706.44","Low_Discounted_product","1702.73"
"1393.93","Heavy_Discounted_product","1187.46"
"1308.44","Heavy_Discounted_product","1109.33"
"226.78","Heavy_Discounted_product","-53.53"
"1928.29","Low_Discounted_product","1832.10"
"1466.14","Heavy_Discounted_product","1352.55"
"1230.63","Heavy_Discounted_product","973.65"
