"rest_name","city","total_revenue","revenue_rank"
"Delhi Darbar 176","Chennai","13877.56","1"
"Burger Factory 92","Mumbai","13162.58","2"
"Urban Tadka 288","Delhi","12386.44","3"
"Golden Spoon 41","Delhi","11065.40","4"
"Saffron Delight 71","Mumbai","11001.43","5"
"Saffron Delight 212","Bangalore","10926.50","6"
"Pizza Junction 213","Bangalore","9479.48","7"
"Chai & Chat 200","Chennai","9419.76","8"
"The Food Studio 147","Kolkata","9413.07","9"
"Mumbai Masala 252","Chennai","9088.22","10"
"Spice Villa 295","Chennai","8926.39","11"
"Pizza Junction 161","Kolkata","8906.70","12"
"Spice Villa 253","Kolkata","8782.96","13"
"Kolkata Kitchen 56","Kolkata","8725.18","14"
"Punjabi Dhaba 112","Mumbai","8374.05","15"
"The Food Studio 86","Delhi","8230.37","16"
"Dragon Wok 215","Bangalore","8108.65","17"
"Biryani House 201","Bangalore","8083.05","18"
"Pizza Junction 156","Chennai","7956.84","19"
"Mumbai Masala 146","Chennai","7868.08","20"
"Bombay Bistro 296","Delhi","7841.98","21"
"Punjabi Dhaba 276","Mumbai","7791.88","22"
"Delhi Darbar 120","Bangalore","7763.58","23"
"Biryani House 285","Mumbai","7662.93","24"
"Chai & Chat 284","Chennai","7649.69","25"
"Dragon Wok 242","Kolkata","7591.44","26"
"Golden Spoon 249","Bangalore","7541.99","27"
"Dragon Wok 158","Delhi","7537.08","28"
"Annapurna Bhavan 168","Bangalore","7496.39","29"
"Mughal Mahal 237","Bangalore","7457.34","30"
"Delhi Darbar 155","Delhi","7374.86","31"
"Golden Spoon 74","Kolkata","7271.42","32"
"Delhi Darbar 174","Delhi","7169.82","33"
"Masala Magic 55","Chennai","7137.17","34"
"The Curry Leaf 103","Delhi","7027.01","35"
"South Spice 93","Bangalore","6982.75","36"
"Annapurna Bhavan 300","Kolkata","6956.08","37"
"The Curry Leaf 142","Mumbai","6948.59","38"
"Urban Tadka 259","Kolkata","6866.20","39"
"Masala Magic 63","Chennai","6786.59","40"
"Chutney Express 172","Mumbai","6740.17","41"
"Dragon Wok 184","Delhi","6702.09","42"
"Punjabi Dhaba 136","Mumbai","6686.82","43"
"Flavours of India 35","Delhi","6658.59","44"
"Chutney Express 177","Mumbai","6648.56","45"
"Punjabi Dhaba 233","Mumbai","6567.24","46"
"South Spice 291","Mumbai","6539.18","47"
"Mughal Mahal 164","Mumbai","6519.98","48"
"Urban Tadka 269","Kolkata","6514.41","49"
"The Food Studio 90","Mumbai","6476.27","50"
"Burger Factory 88","Kolkata","6297.51","51"
"Annapurna Bhavan 218","Chennai","6292.83","52"
"Punjabi Dhaba 196","Bangalore","6271.64","53"
"Masala Magic 69","Chennai","6266.34","54"
"Golden Spoon 293","Kolkata","6241.83","55"
"Mumbai Masala 135","Mumbai","6176.70","56"
"Burger Factory 292","Chennai","6170.30","57"
"Dragon Wok 52","Mumbai","6141.66","58"
"Curry Kingdom 12","Chennai","6136.88","59"
"The Hungry Panda 85","Bangalore","6110.71","60"
"Dragon Wok 79","Kolkata","6104.44","61"
"The Food Studio 104","Chennai","6095.20","62"
"Flavours of India 251","Bangalore","6030.77","63"
"Curry Kingdom 91","Kolkata","6016.86","64"
"Chai & Chat 60","Delhi","6008.48","65"
"The Curry Leaf 230","Bangalore","5974.01","66"
"Burger Factory 236","Kolkata","5930.62","67"
"The Hungry Panda 268","Bangalore","5905.06","68"
"Kolkata Kitchen 122","Mumbai","5891.62","69"
"Dragon Wok 84","Delhi","5886.62","70"
"Delhi Darbar 24","Kolkata","5863.55","71"
"South Spice 219","Delhi","5813.48","72"
"South Spice 34","Kolkata","5793.37","73"
"Mumbai Masala 96","Mumbai","5772.33","74"
"South Spice 3","Kolkata","5731.05","75"
"Golden Spoon 44","Delhi","5708.91","76"
"Taste of Punjab 267","Chennai","5697.45","77"
"Golden Spoon 203","Kolkata","5692.39","78"
"The Curry Leaf 193","Chennai","5691.44","79"
"Kolkata Kitchen 73","Bangalore","5650.35","80"
"Biryani House 133","Bangalore","5538.42","81"
"Pizza Junction 228","Delhi","5537.71","82"
"South Spice 145","Kolkata","5493.93","83"
"Royal Tandoor 143","Kolkata","5409.79","84"
"Mumbai Masala 226","Mumbai","5377.35","85"
"Pizza Junction 40","Kolkata","5333.85","86"
"South Spice 243","Bangalore","5328.49","87"
"Curry Kingdom 179","Kolkata","5274.47","88"
"The Food Studio 77","Kolkata","5228.25","89"
"Chai & Chat 214","Chennai","5223.16","90"
"Annapurna Bhavan 223","Chennai","5209.31","91"
"Royal Tandoor 54","Bangalore","5206.84","92"
"Taste of Punjab 167","Chennai","5153.39","93"
"The Hungry Panda 46","Kolkata","5077.01","94"
"Golden Spoon 67","Mumbai","5049.71","95"
"Caf̩ Masaledar 232","Bangalore","4988.42","96"
"Masala Magic 238","Kolkata","4949.20","97"
"Chai & Chat 25","Chennai","4910.43","98"
"Rasoi Ghar 150","Bangalore","4845.14","99"
"Golden Spoon 255","Chennai","4782.22","100"
"Bombay Bistro 31","Chennai","4735.75","101"
"Tandoori Nights 127","Chennai","4727.45","102"
"Taste of Punjab 274","Chennai","4711.23","103"
"Masala Magic 117","Delhi","4704.60","104"
"Curry Kingdom 278","Chennai","4661.41","105"
"The Food Studio 94","Delhi","4605.59","106"
"Annapurna Bhavan 115","Kolkata","4588.65","107"
"Urban Tadka 286","Mumbai","4587.98","108"
"Mughal Mahal 205","Bangalore","4586.87","109"
"Dragon Wok 297","Bangalore","4564.41","110"
"Golden Spoon 140","Chennai","4557.62","111"
"Taste of Punjab 16","Delhi","4522.62","112"
"Rasoi Ghar 95","Bangalore","4502.08","113"
"Masala Magic 21","Kolkata","4496.29","114"
"Pizza Junction 148","Chennai","4484.77","115"
"Flavours of India 195","Mumbai","4410.94","116"
"Caf̩ Masaledar 47","Kolkata","4406.02","117"
"Biryani House 239","Kolkata","4390.06","118"
"Royal Tandoor 4","Delhi","4359.09","119"
"Dragon Wok 220","Bangalore","4343.35","120"
"The Food Studio 99","Mumbai","4317.79","121"
"Annapurna Bhavan 126","Bangalore","4305.80","122"
"Spice Villa 159","Bangalore","4300.69","123"
"Chutney Express 118","Bangalore","4286.45","124"
"Delhi Darbar 181","Delhi","4215.27","125"
"Pizza Junction 207","Mumbai","4200.31","126"
"Mumbai Masala 244","Mumbai","4171.86","127"
