"rest_name","city","total_revenue"
"Chai & Chat 1","Delhi","1433.17"
"South Spice 3","Kolkata","5731.05"
"Royal Tandoor 4","Delhi","4359.09"
"Madras Cafe 6","Kolkata","1827.22"
"Dragon Wok 7","Bangalore","1494.43"
"Bombay Bistro 8","Chennai","2117.14"
"Delhi Darbar 9","Bangalore","3387.91"
"Punjabi Dhaba 11","Delhi","1506.56"
"Curry Kingdom 12","Chennai","6136.88"
"Rasoi Ghar 13","Kolkata","3882.11"
"Madras Cafe 14","Delhi","2105.12"
"Mumbai Masala 15","Bangalore","1491.48"
"Taste of Punjab 16","Delhi","4522.62"
"Chai & Chat 17","Bangalore","3156.61"
"Delhi Darbar 18","Bangalore","2543.11"
"Chai & Chat 19","Delhi","3342.24"
"Pizza Junction 20","Mumbai","3411.51"
"Masala Magic 21","Kolkata","4496.29"
"Delhi Darbar 24","Kolkata","5863.55"
"Chai & Chat 25","Chennai","4910.43"
"Chai & Chat 26","Chennai","3329.29"
"The Curry Leaf 27","Kolkata","2846.15"
"Dragon Wok 28","Chennai","3879.29"
"Bombay Bistro 31","Chennai","4735.75"
"Annapurna Bhavan 32","Kolkata","2814.75"
"Pizza Junction 33","Delhi","2755.36"
"South Spice 34","Kolkata","5793.37"
"Flavours of India 35","Delhi","6658.59"
"Masala Magic 37","Kolkata","1842.53"
"Curry Kingdom 38","Bangalore","3254.68"
"Delhi Darbar 39","Mumbai","1233.32"
"Pizza Junction 40","Kolkata","5333.85"
"Golden Spoon 41","Delhi","11065.40"
"The Food Studio 43","Kolkata","2182.36"
"Golden Spoon 44","Delhi","5708.91"
"Saffron Delight 45","Chennai","1854.71"
"The Hungry Panda 46","Kolkata","5077.01"
"Caf̩ Masaledar 47","Kolkata","4406.02"
"Madras Cafe 48","Bangalore","3476.59"
"Mughal Mahal 50","Delhi","2013.08"
"Flavours of India 51","Delhi","3746.74"
"Dragon Wok 52","Mumbai","6141.66"
"Chai & Chat 53","Delhi","3991.22"
"Royal Tandoor 54","Bangalore","5206.84"
